Area_type,Location,Room size,Square_ft,Bathroom,Parking,Balcony,price_old,availability,Age
Super built up  Area,Kasavanhalli,2,1060,2,Yes,2,58.06,Ready To Move,2017
Plot  Area,Rajaji Nagar,6,710,6,Yes,3,160,Ready To Move,2019
Built up  Area,Sanjay nagar,2,1000,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Electronic City,2,1000,2,Yes,1,28.88,18-Dec,2017
Super built up  Area, Mysore Highway,3,1450,2,Yes,2,70,Ready To Move,2017
Plot  Area,ISRO Layout,4,1200,4,Yes,2,155,Ready To Move,2018
Super built up  Area,Thanisandra,2,1296,2,Yes,3,80,17-Aug,2017
Super built up  Area,Domlur,3,1540,3,Yes,2,90,Ready To Move,2015
Plot  Area,Kengeri,4,2894,4,Yes,1,245,Ready To Move,2018
Super built up  Area,Sarjapura   Attibele Road,3,1330,2,Yes,1,48,Ready To Move,2017
Built up  Area,Devasthanagalu,2,1200,2,Yes,1,65,Ready To Move,2017
Built up  Area,T Dasarahalli,3,1200,3,Yes,1,90,Ready To Move,2015
Super built up  Area,Yeshwanthpur,3,2502,3,Yes,3,138,Ready To Move,2015
Built up  Area,Chandapura,2,650,1,Yes,1,17,Ready To Move,2017
Plot  Area,Kothanur,3,2400,2,Yes,1,150,Ready To Move,2017
Super built up  Area,Green View Layout,2,1007,2,Yes,2,43,Ready To Move,2017
Super built up  Area,Shantiniketan Layout,2,1200,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Peenya,2,966,2,Yes,2,49.9,Ready To Move,2017
Built up  Area,Nagarbhavi,3,1630,2,Yes,1,98,Ready To Move,2017
Built up  Area,Rajaji Nagar,3,1640,3,Yes,2,229,Ready To Move,2015
Built up  Area,Jalahalli West,2,782,2,Yes,2,55.68,Ready To Move,2017
Super built up  Area,Devanahalli,2,1260,2,Yes,2,66.78,19-Apr,2017
Super built up  Area,Lakshmiamma Garden,3,1800,3,Yes,3,120,Ready To Move,2015
Super built up  Area,Byatarayanapura,3,1413,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Whitefield,2,1116,2,Yes,1,51.91,Ready To Move,2017
Super built up  Area,Electronic City,3,1530,2,Yes,1,45.9,Ready To Move,2017
Built up  Area,Ramamurthy Nagar,4,3700,4,Yes,1,225,Ready To Move,2018
Built up  Area,Sarjapur  Road,3,2497,3,Yes,2,140,Ready To Move,2015
Super built up  Area,Kengeri,3,1540,2,Yes,3,64,Ready To Move,2017
Super built up  Area,Thanisandra,3,1436,3,Yes,1,74.75,18-Dec,2015
Super built up  Area,Malleshwaram,2,1100,2,Yes,2,75,18-Jun,2017
Plot  Area,Hennur Road,2,276,3,Yes,3,23,Ready To Move,2015
Super built up  Area,Thanisandra,3,1427,3,Yes,2,120,Ready To Move,2015
Super built up  Area,Akshaya Nagar,3,2061,3,Yes,1,200,Ready To Move,2015
Super built up  Area,Hebbal,4,8156,4,Yes,0,477,18-Mar,2018
Built up  Area,Shampura,4,2650,4,Yes,2,150,Ready To Move,2018
Super built up  Area,Devanahalli,3,1282,2,Yes,2,68.52,22-Dec,2017
Built up  Area,Kadugodi,2,1050,2,Yes,1,34,Ready To Move,2017
Built up  Area,LB Shastri Nagar,3,1600,3,Yes,2,65,Ready To Move,2015
Super built up  Area,Vajarahalli,2,945,2,Yes,1,54,22-Jan,2017
Super built up  Area,Hormavu,2,1500,2,Yes,1,78,Ready To Move,2017
Plot  Area,Vishwapriya Layout,7,950,7,Yes,0,115,Ready To Move,2020
Built up  Area,Peenya,3,1870,3,Yes,3,110,Ready To Move,2015
Plot  Area,Sarjapur,3,1600,3,Yes,1,75,Ready To Move,2015
Super built up  Area,Electronic City,2,880,1,Yes,1,16.5,Ready To Move,2017
Plot  Area,Ramaswamy Palya   Kammanahalli Main Road,4,1200,4,Yes,0,210,Ready To Move,2018
Super built up  Area,Kudlu Gate,3,1535,3,Yes,2,83,Ready To Move,2015
Built up  Area,Kanakpura Road,2,950,2,Yes,1,57,Ready To Move,2017
Super built up  Area,Devanahalli,2,1360,2,Yes,1,65,18-Aug,2017
Super built up  Area,8th Phase JP Nagar,2,1105,2,Yes,0,54.005,19-Mar,2017
Super built up  Area,Bommasandra Industrial Area,3,1280,3,Yes,1,50.4,18-May,2015
Super built up  Area,Chandra Layout,3,1260,2,Yes,2,85.05,19-Jan,2017
Built up  Area,Hennur Road,8,5000,8,Yes,,250,Ready To Move,2020
Super built up  Area,Yelahanka,5,3050,5,Yes,1,213,19-Dec,2019
Super built up  Area,Kasavanhalli,3,1563,3,Yes,1,105,Ready To Move,2015
Super built up  Area,ISRO Layout,2,1000,2,Yes,1,60,Ready To Move,2017
Super built up  Area,Anandapura,2,1167,2,Yes,1,43.76,17-Jul,2017
Super built up  Area,Vishveshwarya Layout,7,4000,7,Yes,2,225,Ready To Move,2020
Super built up  Area,Kothanur,3,1828,3,Yes,,110,Ready To Move,2015
Super built up  Area,Kengeri Satellite Town,2,890,2,Yes,1,35,Ready To Move,2017
Super built up  Area,Basavanapura,3,1612,3,Yes,3,46.74,Ready To Move,2015
Plot  Area,Dinnur,6,1034,5,Yes,,185,Ready To Move,2019
Super built up  Area,Mysore Road,3,1710,4,Yes,2,91.31,19-Apr,2018
Super built up  Area,Kannamangala,2,957,2,Yes,1,58,Ready To Move,2017
Super built up  Area, Devarachikkanahalli,3,1250,2,Yes,3,44,18-May,2017
Super built up  Area,Sanjeevini Nagar,3,2795,4,Yes,,235,Ready To Move,2018
Super built up  Area,Hulimavu,2,1125,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Electronic City Phase II,2,1020,2,Yes,1,30.6,18-Jul,2017
Super built up  Area,Kalena Agrahara,2,1200,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Thanisandra,3,1735,3,Yes,3,135,Ready To Move,2015
Super built up  Area,Thanisandra,3,2050,3,Yes,1,145,Ready To Move,2015
Plot  Area,Mahalakshmi Layout,4,3750,4,Yes,0,760,Ready To Move,2018
Built up  Area,Yarandahalli,3,1350,2,Yes,3,48,Ready To Move,2017
Super built up  Area,Hosa Road,2,1063,2,Yes,1,32,18-May,2017
Super built up  Area,Keshava Nagar,3,1904,3,Yes,1,150,Ready To Move,2015
Built up  Area,Whitefield,4,4200,4,Yes,2,420,Ready To Move,2018
Super built up  Area,RMV Extension,3,2000,3,Yes,1,175,Ready To Move,2015
Super built up  Area,Sarjapur,2,1340,2,Yes,0,43.49,18-Dec,2017
Super built up  Area,Tejaswini Nagar,3,1425,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Electronic City,3,1500,2,Yes,1,64.5,Ready To Move,2017
Built up  Area,Electronic City,2,1060,2,Yes,1,60,Ready To Move,2017
Built up  Area,Jai Bheema Nagar,3,1470,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Kothnur Narayanapura,6,1300,6,Yes,0,99,Ready To Move,2019
Super built up  Area,Attibele,1,450,1,Yes,1,11,Ready To Move,2017
Super built up  Area,Electronic City,2,1152,2,Yes,1,64.5,18-Apr,2017
Super built up  Area,Electronic City,3,1350,2,Yes,1,56,Ready To Move,2017
Super built up  Area,CV Raman Nagar,3,1550,3,Yes,3,65,Ready To Move,2015
Plot  Area,CHIKKATIRUPATHI,3,1500,3,Yes,2,100,Ready To Move,2015
Plot  Area,Kumaraswami Layout,5,600,3,Yes,2,85,Ready To Move,2015
Plot  Area,Nagavara,1,400,1,Yes,0,14,Ready To Move,2017
Super built up  Area,Malleshwaram,1,705,1,Yes,2,67,Ready To Move,2017
Built up  Area,Electronic City,2,770,1,Yes,1,36,Ready To Move,2017
Super built up  Area,Hulimavu,2,1242,2,Yes,3,51,Ready To Move,2017
Super built up  Area,Hebbal Kempapura,3,1700,3,Yes,2,155,Ready To Move,2015
Super built up  Area,Thanisandra,3,2144,3,Yes,2,145,Ready To Move,2015
Super built up  Area,Vijayanagar,3,1704,3,Yes,2,110,21-Jun,2015
Super built up  Area,Electronic City,2,1070,2,Yes,1,52,Ready To Move,2017
Plot  Area,8th block Koramangala,3,1846,3,Yes,2,300,Ready To Move,2015
Super built up  Area,Jakkuru Layout,2,1340,2,Yes,2,55.7,Ready To Move,2017
Built up  Area,Electronic City,2,1025,2,Yes,1,46,Ready To Move,2017
Super built up  Area,KR Puram,2,1540,2,Yes,0,56.8,Ready To Move,2017
Super built up  Area,Marathahalli,2,1200,2,Yes,2,52,Ready To Move,2017
Built up  Area,Kanakpura Road,4,2250,4,Yes,1,110,18-Dec,2018
Super built up  Area,Pattandur Agrahara,3,1550,2,Yes,3,80,Ready To Move,2017
Plot  Area,Bellandur,4,1200,5,Yes,,325,Ready To Move,2019
Plot  Area,Ejipura,7,1800,7,Yes,1,250,Ready To Move,2020
Super built up  Area,Marathahalli,2,1200,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Yelahanka,2,1327,2,Yes,2,98,Ready To Move,2017
Super built up  Area,Kothanur,2,1186,2,Yes,2,58,Ready To Move,2017
Built up  Area,MS Pallya,3,1783,3,Yes,1,115,Ready To Move,2015
Super built up  Area,HSR Layout,3,1400,3,Yes,2,56,Ready To Move,2015
Super built up  Area,Nagasandra,2,980,2,Yes,1,48,Ready To Move,2017
Super built up  Area,EPIP Zone,2,1285,2,Yes,2,82,Ready To Move,2017
Super built up  Area,Langford Town,3,912,2,Yes,1,70,Ready To Move,2017
Built up  Area,Whitefield,2,1225,2,Yes,2,47.6,Ready To Move,2017
Super built up  Area,Whitefield,2,1075,2,Yes,1,53,Ready To Move,2017
Built up  Area,Kadugodi,3,1260,2,Yes,2,54,Ready To Move,2017
Super built up  Area,Yelahanka,3,1282,2,Yes,2,48.7,Ready To Move,2017
Super built up  Area,Kogilu,3,1909,3,Yes,2,88,Ready To Move,2015
Super built up  Area,Panathur,2,1359,2,Yes,1,87,Ready To Move,2017
Built up  Area,Nagondanahalli,2,1207,2,Yes,2,43.5,Ready To Move,2017
Plot  Area,Padmanabhanagar,4,1736,6,Yes,0,190,Ready To Move,2019
Super built up  Area,1st Block Jayanagar,4,2850,4,Yes,1,428,20-May,2018
Super built up  Area,Kammasandra,3,1595,3,Yes,2,65,Ready To Move,2015
Built up  Area,"Off Sarjapur Road, ",3,1798,3,Yes,2,89,18-Jun,2015
Super built up  Area,Electronics City Phase 1,3,1475,3,Yes,2,78.29,Ready To Move,2015
Super built up  Area,Tala Cauvery Layout,3,1580,3,Yes,3,100,Ready To Move,2015
Super built up  Area,Dasarahalli,2,1295,2,Yes,1,65,Ready To Move,2017
Built up  Area,Magadi Road,6,3600,6,Yes,0,141,Ready To Move,2019
Super built up  Area,Electronic City,1,589,1,Yes,1,27,Ready To Move,2017
Super built up  Area,Ngef Layout,3,1415,3,Yes,3,78,Ready To Move,2015
Super built up  Area,Sarjapur  Road,3,1787,3,Yes,2,98.29,18-Dec,2015
Super built up  Area,Sarjapur  Road,3,1787,3,Yes,2,125,Ready To Move,2015
Super built up  Area,Koramangala,3,1475,2,Yes,3,90,Ready To Move,2017
Built up  Area,"Lakshminarayanapura, Electronic City Phase 2",4,2000,4,Yes,1,75.5,Ready To Move,2018
Super built up  Area,Sarjapur  Road,2,984,2,Yes,1,44.28,19-Mar,2017
Super built up  Area,Devanahalli,3,1740,,Yes,,74.82,19-Dec,
Super built up  Area,Muthurayya Swamy Layout,3,2405,4,Yes,2,260,Ready To Move,2018
Built up  Area,7th Phase JP Nagar,2,1080,2,Yes,2,72,Ready To Move,2017
Plot  Area,Shantiniketan Layout,2,1500,2,Yes,1,115,Ready To Move,2017
Super built up  Area,Hebbal,3,1900,3,Yes,2,119,Ready To Move,2015
Super built up  Area,Dommasandra,2,805,2,Yes,1,22.14,19-Aug,2017
Super built up  Area,Budigere,2,1153,2,Yes,2,56.4,Ready To Move,2017
Super built up  Area,Dodda Nekkundi Extension,2,1148,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Mylasandra,2,1110,2,Yes,2,55,Ready To Move,2017
Built up  Area,Electronic City,2,1100,2,Yes,2,42,Ready To Move,2017
Super built up  Area,Kalyan nagar,2,1290,2,Yes,2,110,Ready To Move,2017
Super built up  Area,Dr Shivarama Karantha Nagar,3,1500,2,Yes,1,65,Ready To Move,2017
Super built up  Area,Bank Of Baroda Colony,2,1080,2,Yes,2,39,18-Apr,2017
Super built up  Area,Vijayanagar,3,1933,3,Yes,1,129,21-Jun,2015
Built up  Area,Ramamurthy Nagar,5,3500,5,Yes,2,150,Ready To Move,2019
Built up  Area,Kullappa Colony,2,1060,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Chandapura,1,645,1,Yes,1,16.45,18-Aug,2017
Plot  Area,Mukkutam Nagar,8,2600,8,Yes,2,180,Ready To Move,2020
Super built up  Area,Chandapura,1,645,1,Yes,1,16.45,18-Sep,2017
Super built up  Area,Ashwath Nagar,3,1644,3,Yes,3,84,Ready To Move,2015
Super built up  Area,Ncpr Industrial Layout,2,1285,2,Yes,3,72.5,Ready To Move,2017
Plot  Area,Electronic City,3,1200,3,Yes,1,90,Ready To Move,2015
Super built up  Area,Electronic City,2,910,2,Yes,1,40,Ready To Move,2017
Super built up  Area,Kothanur,3,1577,3,Yes,1,70,Ready To Move,2015
Plot  Area,Meenakunte,3,4050,3,Yes,2,280,17-May,2015
Super built up  Area,OMBR Layout,3,2420,3,Yes,2,185,Ready To Move,2015
Super built up  Area,Chandapura,2,800,1,Yes,1,20,Ready To Move,2017
Built up  Area,Anand Nagar,2,1060,2,Yes,2,55,Ready To Move,2017
Super built up  Area,7th Phase JP Nagar,2,1270,2,Yes,2,93,Ready To Move,2017
Super built up  Area,Shree Ananth Nagar Layout,2,900,2,Yes,2,22.5,18-Jun,2017
Built up  Area,Kundalahalli Colony,2,1280,2,Yes,1,69,Ready To Move,2017
Plot  Area,Horamavu Agara,4,1200,2,Yes,0,95,Ready To Move,2017
Built up  Area,Sarjapur  Road,2,1025,2,Yes,2,36,Ready To Move,2017
Super built up  Area,Electronic City,2,1108,2,Yes,1,63,17-Jun,2017
Plot  Area,MCECHS  layout,5,1200,5,Yes,,170,Ready To Move,2019
Super built up  Area,Coffee Board Layout,3,3045,3,Yes,2,170,Ready To Move,2015
Plot  Area,Ambedkar Nagar,4,2900,3,Yes,2,300,Ready To Move,2015
Super built up  Area,Vijayanagar,3,1500,3,Yes,2,75.5,Ready To Move,2015
Super built up  Area,Raja Rajeshwari Nagar,2,1295,2,Yes,2,43.9,Ready To Move,2017
Super built up  Area,Budigere,2,1162,2,Yes,1,59.9,Ready To Move,2017
Super built up  Area,Sarjapur  Road,2,1035,2,Yes,2,49.2,Ready To Move,2017
Built up  Area,Attibele,4,1600,4,Yes,0,52.8,Ready To Move,2018
Super built up  Area,KUDLU MAIN ROAD,3,1464,3,Yes,2,46,Ready To Move,2015
Super built up  Area,Hennur Road,3,1866,2,Yes,2,61.58,18-Oct,2017
Super built up  Area,Geleyara Balaga Layout,2,700,1,Yes,1,26,Ready To Move,2017
Super built up  Area,Kalena Agrahara,3,1804,3,Yes,2,120,Ready To Move,2015
Super built up  Area,Sarjapur,2,913,2,Yes,1,32,Ready To Move,2017
Super built up  Area,Talaghattapura,3,1868,3,Yes,2,131,21-Dec,2015
Built up  Area,Kengeri Satellite Town,2,883,2,Yes,1,45,Ready To Move,2017
Plot  Area,Sundara Nagar,2,900,2,Yes,1,110,Ready To Move,2017
Super built up  Area,Kogilu,3,1664,2,Yes,3,73.95,Ready To Move,2017
Super built up  Area,Hegde Nagar,3,2026,3,Yes,2,132,Ready To Move,2015
Super built up  Area,Balagere,2,1210,2,Yes,1,80.9,Ready To Move,2017
Plot  Area,Meenakunte,4,4111,4,Yes,2,250,Ready To Move,2018
Super built up  Area,Kadugodi,3,1762,3,Yes,3,91.45,Ready To Move,2015
Super built up  Area,Jigani,3,1252,3,Yes,3,55,Ready To Move,2015
Built up  Area,Gollarapalya Hosahalli,2,861,2,Yes,1,34.5,Ready To Move,2017
Built up  Area,7th Phase JP Nagar,3,1420,2,Yes,1,100,Ready To Move,2017
Plot  Area,Srirampura,6,1450,6,Yes,0,250,Ready To Move,2019
Built up  Area,Electronics City Phase 1,3,1490,3,Yes,1,78.8,Ready To Move,2015
Super built up  Area,Bisuvanahalli,3,1075,2,Yes,1,46,Ready To Move,2017
Super built up  Area,Old Madras Road,3,1425,2,Yes,2,94,18-Aug,2017
Built up  Area,Kalena Agrahara,2,1200,2,Yes,1,40,Ready To Move,2017
Super built up  Area,Kaggadasapura,3,1280,2,Yes,2,56,Ready To Move,2017
Super built up  Area,Silver Springs Layout,2,1084,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Chandapura,2,1015,2,Yes,2,25.88,18-Jul,2017
Super built up  Area,Kanakpura Road,2,1017,2,Yes,1,51.25,21-May,2017
Super built up  Area,Haralur Road,2,1027,2,Yes,2,44,Ready To Move,2017
Super built up  Area,Electronic City Phase II,2,1069,2,Yes,2,45,Ready To Move,2017
Super built up  Area,Hebbal,2,1349,2,Yes,1,98.2,Ready To Move,2017
Super built up  Area,9th Phase JP Nagar,2,1005,2,Yes,1,50,Ready To Move,2017
Super built up  Area,Jakkur,2,1417,2,Yes,3,75,Ready To Move,2017
Plot  Area,TC Palaya,3,1475,3,Yes,1,98,18-Jan,2015
Carpet  Area,Maruthi Sevanagar,2,950,2,Yes,2,47,Ready To Move,2017
Super built up  Area,RMV 2nd Stage,4,2000,4,Yes,0,120,Ready To Move,2018
Plot  Area,Giri Nagar,3,880,3,Yes,1,140,Ready To Move,2015
Super built up  Area,Sarjapur  Road,4,1863,3,Yes,2,104,Ready To Move,2015
Super built up  Area,Singasandra,2,1010,2,Yes,1,29.5,Ready To Move,2017
Super built up  Area,Kalena Agrahara,3,1425,2,Yes,1,70,Ready To Move,2017
Super built up  Area,Vijayanagar,3,1450,3,Yes,0,100,Ready To Move,2015
Super built up  Area,Kothanur,3,1847,3,Yes,2,105,Ready To Move,2015
Super built up  Area,AECS Layout,2,1100,2,Yes,3,45,Ready To Move,2017
Super built up  Area,Kanakpura Road,1,525,1,Yes,1,26,20-Dec,2017
Super built up  Area,Mallasandra,3,1665,3,Yes,2,95,Ready To Move,2015
Super built up  Area,Begur,4,1664,4,Yes,3,65,Ready To Move,2018
Super built up  Area,JP Nagar,3,1850,3,Yes,3,150,Ready To Move,2015
Super built up  Area,Panathur,2,1438,2,Yes,3,100,Ready To Move,2017
Super built up  Area,Sunder Ram Shetty Nagar,3,1560,3,Yes,3,115,Ready To Move,2015
Super built up  Area,Yelahanka,2,1350,2,Yes,1,55.55,18-Apr,2017
Super built up  Area,Kanakpura Road,3,1550,3,Yes,3,67,Ready To Move,2015
Super built up  Area,Malleshpalya,2,1140,2,Yes,2,46.5,18-Apr,2017
Plot  Area,Srirampura,5,1200,5,Yes,2,180,Ready To Move,2019
Super built up  Area,Kodathi,2,850,2,Yes,2,27,18-Dec,2017
Super built up  Area,Whitefield,2,1280,2,Yes,2,75,Ready To Move,2017
Built up  Area,Munnekollal,2,1170,2,Yes,2,52,Ready To Move,2017
Super built up  Area,Motappa Layout,2,1113,2,Yes,1,51,Ready To Move,2017
Super built up  Area,Hennur Road,2,1385,2,Yes,1,83.09,Ready To Move,2017
Super built up  Area,Electronic City,2,1128,2,Yes,1,65,18-Apr,2017
Plot  Area,Marathahalli,2,1200,2,Yes,2,128,Ready To Move,2017
Plot  Area,Akshaya Vana,4,1200,4,Yes,3,165,Ready To Move,2018
Super built up  Area,Rajaji Nagar,3,2390,3,Yes,2,415,Ready To Move,2015
Plot  Area,Giri Nagar,4,2400,4,Yes,1,400,Ready To Move,2018
Super built up  Area,Haralur Road,3,1464,3,Yes,2,56,Ready To Move,2015
Super built up  Area,Manayata Tech Pa  ,2,1200,2,Yes,2,55,Ready To Move,2017
Super built up  Area,Kaval Byrasandra,2,1200,2,Yes,2,52,Ready To Move,2017
Super built up  Area,Kaggalipura,3,1150,2,Yes,1,55,Ready To Move,2017
Built up  Area,Basavanna Nagar,3,1645,3,Yes,2,95,Ready To Move,2015
Super built up  Area,Sarjapur  Road,2,1000,2,Yes,1,67,20-Mar,2017
Plot  Area,Haralur Road,4,2650,4,Yes,2,198,Ready To Move,2018
Super built up  Area,6th Phase JP Nagar,2,1192,2,Yes,2,74,Ready To Move,2017
Super built up  Area,Ulsoor,3,2135,3,Yes,2,215,Ready To Move,2015
Super built up  Area,Whitefield,2,1173,2,Yes,1,58,19-Dec,2017
Built up  Area,Uttarahalli,2,1020,2,Yes,2,45,Ready To Move,2017
Super built up  Area,Thigalarapalya,4,3122,6,Yes,2,230,Ready To Move,2019
